player_name,ast,gp,pts,ts_pct,ast_pct,usg_pct,net_rating,reb,height,weight,position_ratings
Sean Rooks,0.6,69,3.8,0.547,0.098,0.177,1.3,2.4,208.28,117.93392,"{'point guard': 14.280000000000001, 'shooting guard': 3.1494, 'small forward': 0.1533, 'forward': 1.74, 'center': 163.10696000000002}"
Rex Walters,1.9,59,6.8,0.5710000000000001,0.18,0.1689999999999999,-11.1,1.8,193.04,86.18248,"{'point guard': 13.32, 'shooting guard': 5.554200000000001, 'small forward': 0.17229999999999993, 'forward': -5.9399999999999995, 'center': 139.61124}"
Jack Haley,0.3,20,2.0,0.441,0.088,0.2239999999999999,5.0,1.6,208.28,109.769264,"{'point guard': 4.24, 'shooting guard': 1.6882000000000001, 'small forward': 0.18319999999999992, 'forward': 3.64, 'center': 159.024632}"
Chris Whitney,2.2,82,5.2,0.5660000000000001,0.268,0.183,2.0,1.3,182.88,77.11064,"{'point guard': 18.160000000000004, 'shooting guard': 4.2732, 'small forward': 0.2085, 'forward': 1.72, 'center': 129.99532}"
Dickey Simpkins,0.6,48,1.9,0.411,0.1119999999999999,0.163,-0.9,1.9,205.74,112.490816,"{'point guard': 10.080000000000002, 'shooting guard': 1.6022, 'small forward': 0.14769999999999997, 'forward': 0.21999999999999997, 'center': 159.115408}"
Tyrone Corbin,1.8,70,9.5,0.514,0.089,0.153,10.5,4.2,198.12,102.0582,"{'point guard': 15.44, 'shooting guard': 7.702800000000001, 'small forward': 0.13379999999999997, 'forward': 7.98, 'center': 150.0891}"
Alton Lister,0.2,53,1.6,0.48,0.038,0.1,-13.3,3.2,213.36,111.13004,"{'point guard': 10.760000000000002, 'shooting guard': 1.3760000000000003, 'small forward': 0.08139999999999999, 'forward': -6.7, 'center': 162.24502}"
Tim Hardaway,8.6,81,20.3,0.532,0.4039999999999999,0.264,8.9,3.4,182.88,88.45044,"{'point guard': 23.08, 'shooting guard': 16.346400000000003, 'small forward': 0.30599999999999994, 'forward': 6.7, 'center': 135.66522}"
Terry Cummings,0.9,45,8.2,0.521,0.088,0.2319999999999999,1.3,4.1,205.74,113.398,"{'point guard': 9.72, 'shooting guard': 6.664199999999999, 'small forward': 0.18879999999999994, 'forward': 2.42, 'center': 159.56900000000002}"
Darvin Ham,0.4,36,2.3,0.536,0.072,0.14,-2.0,1.6,200.66,99.79024,"{'point guard': 7.5200000000000005, 'shooting guard': 1.9471999999999998, 'small forward': 0.1196, 'forward': -0.5599999999999998, 'center': 150.22512}"
Wesley Person,1.5,80,13.5,0.5670000000000001,0.084,0.195,0.7,3.7,198.12,88.45044,"{'point guard': 17.2, 'shooting guard': 10.913400000000001, 'small forward': 0.16169999999999998, 'forward': 1.9000000000000001, 'center': 143.28522}"
Greg Anthony,6.3,65,9.5,0.526,0.358,0.177,-9.4,2.8,185.42,81.64656,"{'point guard': 18.04, 'shooting guard': 7.7052000000000005, 'small forward': 0.23129999999999998, 'forward': -4.52, 'center': 133.53328}"
Kendall Gill,4.0,82,21.8,0.53,0.182,0.255,-3.6,6.1,195.58,97.975872,"{'point guard': 19.6, 'shooting guard': 17.546000000000003, 'small forward': 0.23309999999999997, 'forward': 0.2799999999999998, 'center': 146.777936}"
Derrick McKey,2.7,50,8.0,0.462,0.154,0.1669999999999999,-0.2,4.8,205.74,92.98636,"{'point guard': 12.16, 'shooting guard': 6.4924, 'small forward': 0.1630999999999999, 'forward': 1.7999999999999998, 'center': 149.36318}"
Ervin Johnson,0.9,82,7.1,0.5429999999999999,0.042,0.114,-5.9,11.1,210.82,111.13004,"{'point guard': 17.12, 'shooting guard': 5.7886, 'small forward': 0.0924, 'forward': 0.9000000000000004, 'center': 160.97502}"
Kevin Johnson,9.3,70,20.1,0.631,0.3879999999999999,0.226,2.9,3.6,185.42,86.18248,"{'point guard': 21.44, 'shooting guard': 16.206200000000003, 'small forward': 0.27459999999999996, 'forward': 3.18, 'center': 135.80124}"
Benoit Benjamin,0.3,4,3.3,0.472,0.036,0.157,-9.1,2.3,213.36,113.398,"{'point guard': 1.04, 'shooting guard': 2.7344, 'small forward': 0.1207, 'forward': -4.54, 'center': 163.37900000000002}"
Alonzo Mourning,1.6,66,19.8,0.578,0.086,0.275,10.5,9.9,208.28,118.38751200000002,"{'point guard': 14.48, 'shooting guard': 15.955600000000002, 'small forward': 0.2183, 'forward': 10.26, 'center': 163.333756}"
Juwan Howard,3.8,82,19.1,0.529,0.15,0.2339999999999999,1.3,8.0,205.74,113.398,"{'point guard': 19.44, 'shooting guard': 15.385800000000001, 'small forward': 0.20879999999999993, 'forward': 3.9800000000000004, 'center': 159.56900000000002}"
Lucious Harris,0.9,54,5.4,0.466,0.105,0.184,-5.5,1.3,195.58,92.98636,"{'point guard': 11.520000000000001, 'shooting guard': 4.413200000000001, 'small forward': 0.1603, 'forward': -2.78, 'center': 144.28318000000002}"
