Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,playerRating
316,Terry Cummings,SEA,36.0,205.74,113.398,DePaul,USA,1996,1,2,45,8.2,4.1,0.9,1.3,0.104,0.174,0.2319999999999999,0.521,0.088,1996-97,44.642
185,Darvin Ham,IND,23.0,200.66,99.79024,Texas Tech,USA,1996,Undrafted,Undrafted,36,2.3,1.6,0.4,-2.0,0.109,0.0969999999999999,0.14,0.536,0.072,1996-97,28.610300000000002
295,Wesley Person,PHX,26.0,198.12,88.45044,Auburn,USA,1996,1,23,80,13.5,3.7,1.5,0.7,0.033,0.114,0.195,0.5670000000000001,0.084,1996-97,74.34709999999998
98,Greg Anthony,VAN,29.0,185.42,81.64656,Nevada-Las Vegas,USA,1996,1,12,65,9.5,2.8,6.3,-9.4,0.015,0.099,0.177,0.526,0.358,1996-97,59.402600000000014
360,Kendall Gill,NJN,29.0,195.58,97.975872,Illinois,USA,1996,1,5,82,21.8,6.1,4.0,-3.6,0.0579999999999999,0.114,0.255,0.53,0.182,1996-97,86.53249999999998
35,Derrick McKey,IND,30.0,205.74,92.98636,Alabama,USA,1996,1,9,50,8.0,4.8,2.7,-0.2,0.067,0.127,0.1669999999999999,0.462,0.154,1996-97,49.4516
23,Ervin Johnson,DEN,29.0,210.82,111.13004,New Orleans,USA,1996,1,23,82,7.1,11.1,0.9,-5.9,0.103,0.294,0.114,0.5429999999999999,0.042,1996-97,72.1858
338,Kevin Johnson,PHX,31.0,185.42,86.18248,California,USA,1996,1,7,70,20.1,3.6,9.3,2.9,0.024,0.085,0.226,0.631,0.3879999999999999,1996-97,81.79969999999999
116,Benoit Benjamin,TOR,32.0,213.36,113.398,Creighton,USA,1996,1,3,4,3.3,2.3,0.3,-9.1,0.067,0.1669999999999999,0.157,0.472,0.036,1996-97,4.838799999999998
148,Alonzo Mourning,MIA,27.0,208.28,118.38751200000002,Georgetown,USA,1996,1,2,66,19.8,9.9,1.6,10.5,0.1,0.2289999999999999,0.275,0.578,0.086,1996-97,79.94120000000001
380,Juwan Howard,WAS,24.0,205.74,113.398,Michigan,USA,1996,1,5,82,19.1,8.0,3.8,1.3,0.073,0.156,0.2339999999999999,0.529,0.15,1996-97,87.15280000000001
420,Lucious Harris,PHI,26.0,195.58,92.98636,Long Beach State,USA,1996,2,28,54,5.4,1.3,0.9,-5.5,0.036,0.065,0.184,0.466,0.105,1996-97,43.062999999999995
